raw_name,canonical_name,entity_type,source_url,matched,startup_name
libpostal,,PRODUCT,https://github.com/openvenues/libpostal,False,openvenues
Learn_Prompting,,PRODUCT,https://github.com/trigaten/Learn_Prompting,False,trigaten
Promptify,,PRODUCT,https://github.com/promptslab/Promptify,False,promptslab
pytorch-sentiment-analysis,,PRODUCT,https://github.com/bentrevett/pytorch-sentiment-analysis,False,bentrevett
practical-pytorch,,PRODUCT,https://github.com/spro/practical-pytorch,False,spro
Awesome-AIGC-Tutorials,,PRODUCT,https://github.com/luban-agi/Awesome-AIGC-Tutorials,False,luban-agi
LMOps,,PRODUCT,https://github.com/microsoft/LMOps,False,microsoft
DeepKE,,PRODUCT,https://github.com/zjunlp/DeepKE,False,zjunlp
CLUEDatasetSearch,,PRODUCT,https://github.com/CLUEbenchmark/CLUEDatasetSearch,False,CLUEbenchmark
llm-foundry,,PRODUCT,https://github.com/mosaicml/llm-foundry,False,mosaicml
franc,,PRODUCT,https://github.com/wooorm/franc,False,wooorm
Data-Science-Roadmap,,PRODUCT,https://github.com/Moataz-Elmesmary/Data-Science-Roadmap,False,Moataz-Elmesmary
PromptPapers,,PRODUCT,https://github.com/thunlp/PromptPapers,False,thunlp
MNBVC,,PRODUCT,https://github.com/esbatmop/MNBVC,False,esbatmop
LightLLM,,PRODUCT,https://github.com/ModelTC/LightLLM,False,ModelTC
Awesome-ChatGPT,,PRODUCT,https://github.com/dalinvip/Awesome-ChatGPT,False,dalinvip
spark-nlp,,PRODUCT,https://github.com/JohnSnowLabs/spark-nlp,False,JohnSnowLabs
course,,PRODUCT,https://github.com/huggingface/course,False,huggingface
gigatoken,,PRODUCT,https://github.com/marcelroed/gigatoken,False,marcelroed
snips-nlu,,PRODUCT,https://github.com/snipsco/snips-nlu,False,snipsco
JioNLP,,PRODUCT,https://github.com/dongrixinyu/JioNLP,False,dongrixinyu
zero_nlp,,PRODUCT,https://github.com/yuanzhoulvpi2017/zero_nlp,False,yuanzhoulvpi2017
Dive-into-DL-TensorFlow2.0,,PRODUCT,https://github.com/TrickyGo/Dive-into-DL-TensorFlow2.0,False,TrickyGo
daily-interview,,PRODUCT,https://github.com/datawhalechina/daily-interview,False,datawhalechina
Awesome-Text2SQL,,PRODUCT,https://github.com/eosphoros-ai/Awesome-Text2SQL,False,eosphoros-ai
sumy,,PRODUCT,https://github.com/miso-belica/sumy,False,miso-belica
SimCSE,,PRODUCT,https://github.com/princeton-nlp/SimCSE,False,princeton-nlp
awesome-DeepLearning,,PRODUCT,https://github.com/PaddlePaddle/awesome-DeepLearning,False,PaddlePaddle
AiLearning-Theory-Applying,,PRODUCT,https://github.com/ben1234560/AiLearning-Theory-Applying,False,ben1234560
text,,PRODUCT,https://github.com/pytorch/text,False,pytorch
ml-workspace,,PRODUCT,https://github.com/ml-tooling/ml-workspace,False,ml-tooling
course-nlp,,PRODUCT,https://github.com/fastai/course-nlp,False,fastai
